PID, Name, Affiliation
wJdbXnYAAAAJ,Davide Eynard,Researcher;Università della Svizzera Italiana
PTwcvk4AAAAJ,Xiaofeng Meng,Professor;Renmin University of China
NKYtfsYAAAAJ,Umar Farooq Minhas,Researcher; Microsoft Research
ppei17sAAAAJ,Minqi Zhou,East China Normal University
lBF-mDAAAAAJ,Hannes Mühleisen,Centrum Wiskunde & Informatica; Amsterdam; The Netherlands
a-p1NYUAAAAJ,Neha Narula,MIT Media Lab
Pqf21y0AAAAJ,Felix Naumann,Hasso Plattner Institute; University of Potsdam
rd7fZnQAAAAJ,Muhammad Naveed,University of Southern California
bkcNcHYAAAAJ,Christopher Olston,Staff Research Scientist;Google
9Q8DH5sAAAAJ,Dimitrios Papadopoulos,Hong Kong University of Science and Technology
JaAonb0AAAAJ,Olga Papaemmanouil,Brandeis University
4k0lzWwAAAAJ,Charalampos Papamanthou,University of Maryland; College Park
